name,listingDate,currentPrice,changeFromPreviousDay,offeringPrice,changeRateFromOfferingPrice,openingPrice,openingPriceToOfferingPrice,closingPriceOnFirstDay
아이스크림미디어(구.시공미디어),2024/08/30,-,%,"32,000",-%,-,%,예정
이엔셀,2024/08/23,-,%,"15,300",-%,-,%,예정
엠83,2024/08/22,-,%,"16,000",-%,-,%,예정
대신밸런스스팩18호,2024/08/22,-,%,"2,000",-%,-,%,예정
티디에스팜,2024/08/21,"52,000",0.00%,"13,000",300%,"27,000",107.69%,-
넥스트바이오메디컬,2024/08/20,"23,700",0.00%,"29,000",-18.28%,"27,000",-6.9%,"23,700"
케이쓰리아이,2024/08/20,"9,780",-7.30%,"15,500",-36.9%,"15,800",1.94%,"10,550"
전진건설로봇(구.전진중공업)(유가),2024/08/19,"22,050",6.01%,"16,500",33.64%,"27,500",66.67%,"20,550"
유라클,2024/08/16,"15,460",-7.37%,"21,000",-26.38%,"27,900",32.86%,"21,000"
교보스팩16호,2024/08/13,"2,050",0.24%,"2,000",2.5%,"2,300",15%,"2,060"
뱅크웨어글로벌,2024/08/12,"9,430",-2.78%,"16,000",-41.06%,"15,990",-0.06%,"15,750"
아이빔테크놀로지,2024/08/06,"7,420",-7.02%,"10,000",-25.8%,"10,000",0%,"13,360"
피앤에스미캐닉스,2024/07/31,"13,630",-2.15%,"22,000",-38.05%,"30,000",36.36%,"25,050"
산일전기(유가),2024/07/29,"42,450",-3.52%,"35,000",21.29%,"44,900",28.29%,"50,200"
NH스팩31호,2024/07/26,"2,025",-0.25%,"2,000",1.25%,"2,700",35%,"2,020"
SK증권스팩13호,2024/07/25,"2,070",0.00%,"2,000",3.5%,"2,885",44.25%,"2,065"
엑셀세라퓨틱스,2024/07/15,"4,905",-4.20%,"10,000",-50.95%,"12,480",24.8%,"8,330"
이베스트스팩6호,2024/07/12,"2,040",-0.24%,"2,000",2%,"2,860",43%,"2,030"
시프트업(유가),2024/07/11,"66,000",-2.08%,"60,000",10%,"79,900",33.17%,-
하스,2024/07/03,"12,450",0.40%,"16,000",-22.19%,"27,600",72.5%,"17,150"
이노스페이스,2024/07/02,"19,550",-6.46%,"43,300",-54.85%,"43,900",1.39%,"34,450"
신한글로벌액티브리츠,2024/07/01,"2,750",-0.18%,"3,000",-8.33%,-,%,"2,760"
에이치브이엠(구.한국진공야금),2024/06/28,"10,910",-6.27%,"18,000",-39.39%,"28,650",59.17%,"20,200"
하이젠알앤엠,2024/06/27,"11,200",-6.98%,"7,000",60%,"18,000",157.14%,"15,160"
한국스팩15호,2024/06/26,"2,055",0.24%,"2,000",2.75%,"3,175",58.75%,"1,983"
에스오에스랩,2024/06/25,"5,320",-2.39%,"11,500",-53.74%,"20,850",81.3%,"14,420"
에이치엠씨아이비스팩7호,2024/06/24,"2,010",0.00%,"2,000",0.5%,"2,455",22.75%,"1,958"
미래에셋비전스팩6호,2024/06/24,"2,030",-0.49%,"2,000",1.5%,"3,095",54.75%,"1,977"
한중엔시에스,2024/06/24,"42,650",-2.18%,"30,000",42.17%,"45,550",51.83%,"34,000"
KB스팩29호,2024/06/21,"2,055",-0.48%,"2,000",2.75%,"3,880",94%,"2,015"
씨어스테크놀로지,2024/06/19,"11,150",-3.96%,"17,000",-34.41%,"34,450",102.65%,"18,500"
미래에셋비전스팩5호,2024/06/19,"2,100",-0.71%,"2,000",5%,"3,300",65%,"2,060"
한국스팩14호,2024/06/19,"2,125",-0.23%,"2,000",6.25%,"3,150",57.5%,"2,055"
디비금융스팩12호,2024/06/18,"2,100",0.24%,"2,000",5%,"4,925",146.25%,"2,065"
라메디텍,2024/06/17,"12,700",-4.15%,"16,000",-20.63%,"50,000",212.5%,"24,550"
그리드위즈,2024/06/14,"32,850",-7.07%,"40,000",-17.88%,"60,600",51.5%,"49,500"
미래에셋비전스팩4호,2024/05/29,"2,040",-0.24%,"2,000",2%,"2,840",42%,"2,255"
노브랜드,2024/05/23,"15,650",-3.34%,"14,000",11.79%,"31,000",121.43%,"54,300"
아이씨티케이,2024/05/17,"6,780",-3.00%,"20,000",-66.1%,"19,990",-0.05%,"28,700"
KB스팩28호,2024/05/17,"2,145",0.47%,"2,000",7.25%,"2,330",16.5%,"2,030"
HD현대마린솔루션(구.HD현대글로벌서비스)(유가),2024/05/08,"112,500",0.00%,"83,400",34.89%,"119,900",43.76%,"163,900"
코칩,2024/05/07,"11,750",-0.84%,"18,000",-34.72%,"33,000",83.33%,"28,450"
SK증권스팩12호,2024/05/07,"2,135",0.23%,"2,000",6.75%,"2,800",40%,"2,090"
민테크,2024/05/03,"9,800",4.48%,"10,500",-6.67%,"14,900",41.9%,"12,880"
유안타스팩16호,2024/05/02,"2,040",0.25%,"2,000",2%,"3,115",55.75%,"2,005"
디앤디파마텍,2024/05/02,"29,050",1.04%,"33,000",-11.97%,"49,250",49.24%,"36,500"
제일엠앤에스(구.제일기공),2024/04/30,"10,890",-5.88%,"22,000",-50.5%,"37,700",71.36%,"27,000"
하나스팩33호,2024/04/24,"2,160",-0.46%,"2,000",8%,"5,100",155%,"2,150"
신한스팩13호,2024/04/22,"2,185",-0.68%,"2,000",9.25%,"5,900",195%,"2,195"
신한스팩12호,2024/04/15,"2,155",0.00%,"2,000",7.75%,"4,500",125%,-
아이엠비디엑스,2024/04/03,"18,050",-7.58%,"13,000",38.85%,"28,550",119.62%,"36,000"
하나스팩32호,2024/03/27,"2,190",0.00%,"2,000",9.5%,"4,875",143.75%,"2,500"
엔젤로보틱스,2024/03/26,"26,850",4.88%,"20,000",34.25%,"50,500",152.5%,"65,000"
삼현,2024/03/21,"22,350",-1.97%,"30,000",-25.5%,"67,000",123.33%,"47,000"
오상헬스케어,2024/03/13,"17,640",-9.26%,"20,000",-11.8%,"33,250",66.25%,"29,350"
케이엔알시스템,2024/03/07,"8,430",-0.59%,"13,500",-37.56%,"37,000",174.07%,"27,050"
비엔케이스팩2호,2024/03/05,"2,040",0.00%,"2,000",2%,"4,020",101%,"2,005"
하나스팩31호,2024/03/05,"2,100",0.00%,"2,000",5%,"4,065",103.25%,"2,020"
SK증권스팩11호,2024/03/04,"2,115",0.00%,"2,000",5.75%,"4,000",100%,"2,100"
유진스팩10호,2024/02/29,"2,170",0.93%,"2,000",8.5%,"3,000",50%,"2,230"
유안타스팩15호,2024/02/29,"2,015",0.00%,"2,000",0.75%,"2,450",22.5%,"2,015"
에이피알(유가),2024/02/27,"270,000",-1.82%,"250,000",8%,"445,500",78.2%,-
코셈,2024/02/23,"9,040",-2.80%,"16,000",-43.5%,"42,000",162.5%,"25,550"
이에이트,2024/02/23,"14,160",-4.32%,"20,000",-29.2%,"26,150",30.75%,"22,600"
케이웨더,2024/02/22,"4,090",-4.88%,"7,000",-41.57%,"19,920",184.57%,"16,600"
스튜디오삼익,2024/02/06,"9,000",-2.60%,"18,000",-50%,"52,000",188.89%,"39,900"
신영스팩10호,2024/02/06,"2,175",0.23%,"2,000",8.75%,"3,670",83.5%,"2,090"
이닉스(구.이닉스정호),2024/02/01,"16,670",-5.18%,"14,000",19.07%,"46,550",232.5%,-
IBKS스팩24호,2024/02/01,"2,185",-0.68%,"2,000",9.25%,"4,865",143.25%,-
포스뱅크,2024/01/29,"7,430",-2.49%,"18,000",-58.72%,"47,550",164.17%,"23,350"
현대힘스,2024/01/26,"13,200",-1.71%,"7,300",80.82%,"28,950",296.58%,"29,200"
에이치비인베스트먼트,2024/01/25,"2,145",-1.15%,"3,400",-36.91%,"10,100",197.06%,-
대신밸런스스팩17호,2024/01/24,"2,180",0.23%,"2,000",9%,"5,970",198.5%,"2,140"
우진엔텍,2024/01/24,"18,200",-1.46%,"5,300",243.4%,"21,200",300%,"21,200"
IBKS스팩23호,2023/12/22,"2,180",-0.23%,"2,000",9%,"4,030",101.5%,"2,065"
하나스팩30호,2023/12/22,"2,095",-0.24%,"2,000",4.75%,"3,250",62.5%,"1,980"
"디에스단석(구,단석산업)",2023/12/22,"75,500",0.94%,"100,000",-24.5%,"370,000",270%,"400,000"
블루엠텍,2023/12/13,"17,520",-6.31%,"19,000",-7.79%,"55,300",191.05%,"51,000"
LS머트리얼즈,2023/12/12,"18,030",-0.55%,"6,000",200.5%,"19,940",232.33%,"24,000"
케이엔에스,2023/12/06,"17,570",-3.14%,"23,000",-23.61%,"71,000",208.7%,"92,000"
와이바이오로직스,2023/12/05,"9,260",-3.74%,"9,000",2.89%,"23,450",160.56%,"12,800"
교보스팩15호,2023/12/05,"2,170",0.00%,"2,000",8.5%,"4,900",145%,"1,975"
삼성스팩9호,2023/12/04,"2,020",-0.25%,"2,000",1%,"4,720",136%,"2,070"
NH스팩30호,2023/12/01,"2,025",0.00%,"2,000",1.25%,"2,400",20%,"2,475"
에이텀,2023/12/01,"9,840",12.20%,"18,000",-45.33%,"56,900",216.11%,"30,400"
에이에스텍,2023/11/28,"27,750",-1.60%,"28,000",-0.89%,"85,000",203.57%,"70,100"
그린리소스,2023/11/24,"20,250",-2.17%,"17,000",19.12%,"29,500",73.53%,"52,300"
한선엔지니어링,2023/11/24,"12,500",6.20%,"7,000",78.57%,"16,600",137.14%,"18,330"
에코아이,2023/11/21,"20,100",-1.47%,"34,700",-42.07%,"46,100",32.85%,"62,300"
동인기연(유가),2023/11/21,"18,280",-0.22%,"30,000",-39.07%,"30,700",2.33%,"29,150"
스톰테크,2023/11/20,"7,980",-1.12%,"11,000",-27.45%,"18,890",71.73%,"19,060"
에코프로머티리얼즈(유가),2023/11/17,"81,400",2.26%,"36,200",124.86%,"43,000",18.78%,"57,200"
캡스톤파트너스,2023/11/15,"3,875",7.79%,"4,000",-3.13%,"7,000",75%,"9,180"
에이직랜드,2023/11/13,"31,450",-2.93%,"25,000",25.8%,"31,800",27.2%,"30,300"
한국스팩13호,2023/11/13,"2,205",0.46%,"2,000",10.25%,"2,530",26.5%,"1,980"
에스와이스틸텍,2023/11/13,"4,830",24.32%,"1,800",168.33%,"3,300",83.33%,"4,065"
비아이매트릭스,2023/11/09,"9,040",-1.42%,"13,000",-30.46%,"17,040",31.08%,"11,660"
컨텍,2023/11/09,"10,310",-2.09%,"22,500",-54.18%,"19,700",-12.44%,"15,920"
큐로셀,2023/11/09,"30,550",-1.29%,"20,000",52.75%,"22,550",12.75%,"21,700"
메가터치,2023/11/09,"4,355",-1.69%,"4,800",-9.27%,"6,960",45%,"5,590"
쏘닉스,2023/11/07,"2,510",0.60%,"7,500",-66.53%,"10,000",33.33%,"9,430"
KB스팩27호,2023/11/03,"1,997",0.05%,"2,000",-0.15%,"2,005",0.25%,"1,857"
유투바이오,2023/11/02,"4,150",-8.08%,"4,400",-5.68%,"6,000",36.36%,"8,550"
유진테크놀로지,2023/11/02,"7,470",0.54%,"17,000",-56.06%,"24,550",44.41%,"21,200"
퀄리타스반도체,2023/10/27,"12,150",-4.56%,"17,000",-28.53%,"29,200",71.76%,"20,650"
워트,2023/10/26,"11,090",-1.77%,"6,500",70.62%,"10,270",58%,"8,650"
에스엘에스바이오,2023/10/20,"4,080",-7.69%,"7,000",-41.71%,"9,330",33.29%,"6,270"
신성에스티,2023/10/19,"30,200",-4.13%,"26,000",16.15%,"46,050",77.12%,"39,050"
퓨릿(구.신디프),2023/10/18,"8,310",-2.00%,"10,700",-22.34%,"15,610",45.89%,"14,460"
에이치엠씨아이비스팩6호,2023/10/13,"2,095",-0.24%,"2,000",4.75%,"2,000",0%,"2,420"
아이엠티,2023/10/10,"11,090",-2.80%,"14,000",-20.79%,"28,000",100%,"20,750"
레뷰코퍼레이션,2023/10/06,"9,270",1.87%,"15,000",-38.2%,"40,000",166.67%,"23,000"
두산로보틱스,2023/10/05,"68,700",1.03%,"26,000",164.23%,"59,100",127.31%,"51,400"
한싹,2023/10/04,"5,960",4.93%,"12,500",-52.32%,"37,350",198.8%,"21,500"
신한스팩11호,2023/10/04,"1,945",-0.10%,"2,000",-2.75%,"1,996",-0.2%,"1,900"
밀리의서재,2023/09/27,"17,870",5.37%,"23,000",-22.3%,"41,100",78.7%,"41,600"
인스웨이브시스템즈,2023/09/25,"4,275",-2.51%,"24,000",-82.19%,"36,100",50.42%,"51,500"
상상인스팩4호,2023/09/14,"2,010",0.25%,"2,000",0.5%,"1,982",-0.9%,"1,983"
한화플러스스팩4호,2023/09/07,"2,150",-0.69%,"2,000",7.5%,"2,900",45%,"1,998"
대신밸런스스팩16호,2023/09/04,"2,175",0.46%,"2,000",8.75%,"2,670",33.5%,"2,005"
유안타스팩11호,2023/09/01,"2,135",-0.47%,"2,000",6.75%,"3,025",51.25%,"2,005"
대신밸런스스팩15호,2023/08/30,"2,375",-0.63%,"2,000",18.75%,"2,655",32.75%,"2,035"
한국스팩12호,2023/08/30,"2,245",-1.32%,"2,000",12.25%,"3,465",73.25%,"2,520"
시큐레터,2023/08/24,"6,550",0.00%,"12,000",-45.42%,"19,000",58.33%,"24,300"
스마트레이더시스템,2023/08/22,"7,300",-3.82%,"8,000",-8.75%,"16,110",101.38%,"10,470"
넥스틸,2023/08/21,"8,380",3.08%,"11,500",-27.13%,"11,990",4.26%,"10,740"
빅토리콘텐츠(구.빅텐츠),2023/08/17,"12,060",-2.27%,"23,000",-47.57%,"26,900",16.96%,"26,350"
SK증권스팩10호,2023/08/11,"2,170",-0.69%,"2,000",8.5%,"5,000",150%,"2,490"
큐리옥스바이오시스템즈,2023/08/10,"22,450",2.51%,"13,000",72.69%,"13,000",0%,"17,330"
KB스팩26호,2023/08/10,"2,485",0.00%,"2,000",24.25%,"3,200",60%,"2,035"
코츠테크놀로지,2023/08/10,"21,100",0.24%,"13,000",62.31%,"25,000",92.31%,"20,400"
하나스팩28호,2023/08/10,"2,140",0.47%,"2,000",7%,"2,800",40%,"2,030"
파두,2023/08/07,"14,310",-0.28%,"31,000",-53.84%,"26,300",-15.16%,"27,600"
엠아이큐브솔루션,2023/08/04,"8,190",-0.61%,"12,000",-31.75%,"36,900",207.5%,"26,700"
시지트로닉스,2023/08/03,"8,000",-4.08%,"25,000",-68%,"26,350",5.4%,"23,100"
파로스아이바이오,2023/07/27,"10,010",-0.79%,"14,000",-28.5%,"12,330",-11.93%,"8,730"
에이엘티,2023/07/27,"10,330",0.10%,"25,000",-58.68%,"31,600",26.4%,"22,550"
유안타스팩14호,2023/07/27,"2,155",0.47%,"2,000",7.75%,"3,755",87.75%,"2,175"
버넥트,2023/07/26,"3,895",-3.11%,"16,000",-75.66%,"23,600",47.5%,"11,700"
뷰티스킨,2023/07/24,"16,140",-4.04%,"26,000",-37.92%,"54,500",109.62%,"32,600"
SK증권스팩9호,2023/07/21,"2,170",-0.46%,"2,000",8.5%,"3,385",69.25%,"3,860"
와이랩,2023/07/20,"5,750",0.35%,"9,000",-36.11%,"21,600",140%,-
센서뷰,2023/07/19,"3,140",-2.18%,"4,500",-30.22%,"12,700",182.22%,"6,830"
필에너지,2023/07/14,"15,290",-0.07%,"34,000",-55.03%,"122,600",260.59%,"114,600"
디비금융스팩11호,2023/07/12,"2,335",2.41%,"2,000",16.75%,"5,750",187.5%,"4,435"
이노시뮬레이션,2023/07/06,"5,770",-1.03%,"15,000",-61.53%,"44,850",199%,"35,000"
교보스팩14호,2023/07/06,"2,220",0.23%,"2,000",11%,"2,170",8.5%,"6,810"
오픈놀,2023/06/30,"4,820",-2.43%,"10,000",-51.8%,"13,000",30%,"15,750"
알멕,2023/06/30,"27,400",-1.44%,"50,000",-45.2%,"145,400",190.8%,"99,500"
시큐센,2023/06/29,"1,945",-0.71%,"3,000",-35.17%,"8,940",198%,"9,150"
하나스팩29호,2023/06/28,"2,185",1.16%,"2,000",9.25%,"2,115",5.75%,"2,110"
KB스팩25호,2023/06/23,"2,640",0.00%,"2,000",32%,"2,140",7%,"2,130"
NH스팩29호,2023/06/23,"2,015",-0.25%,"2,000",0.75%,"2,040",2%,"2,030"
하이스팩8호,2023/06/22,"2,145",-0.46%,"2,000",7.25%,"2,095",4.75%,"2,125"
프로테옴텍,2023/06/16,"3,080",1.99%,"4,500",-31.56%,"6,500",44.44%,-
큐라티스,2023/06/15,902,4.64%,"4,000",-77.45%,"4,500",12.5%,"5,850"
마녀공장,2023/06/08,"23,150",-3.14%,"16,000",44.69%,"32,000",100%,-
나라셀라,2023/06/02,"4,130",2.10%,"20,000",-79.35%,"19,500",-2.5%,"17,500"
진영(구.진영엘디엠),2023/06/01,"2,820",-0.35%,"5,000",-43.6%,"10,000",100%,"8,680"
기가비스,2023/05/24,"41,650",-4.03%,"43,000",-3.14%,"71,200",65.58%,"79,000"
모니터랩,2023/05/19,"3,735",-1.97%,"9,800",-61.89%,"19,600",100%,"14,200"
씨유박스,2023/05/19,"3,910",-2.74%,"15,000",-73.93%,"15,680",4.53%,"13,920"
키움스팩8호,2023/05/17,"2,195",0.00%,"2,000",9.75%,"2,050",2.5%,"2,070"
트루엔,2023/05/17,"9,450",0.00%,"12,000",-21.25%,"19,340",61.17%,"17,200"
에스바이오메딕스,2023/05/04,"26,300",2.33%,"18,000",46.11%,"23,150",28.61%,"18,830"
토마토시스템,2023/04/27,"6,380",-6.04%,"18,200",-64.95%,"18,100",-0.55%,"14,650"
마이크로투나노,2023/04/26,"7,800",-2.50%,"15,500",-49.68%,"25,200",62.58%,"20,650"
삼성FN리츠(유가),2023/04/10,"4,915",0.20%,"5,000",-1.7%,"4,790",-4.2%,"4,855"
미래에셋비전스팩3호,2023/04/07,"2,190",0.00%,"2,000",9.5%,"2,005",0.25%,-
IBKS스팩22호,2023/04/06,"2,290",0.22%,"2,000",14.5%,"2,055",2.75%,"2,090"
하나스팩27호,2023/04/06,"2,155",0.47%,"2,000",7.75%,"2,000",0%,"2,005"
지아이이노베이션,2023/03/30,"10,190",-2.49%,"13,000",-21.62%,"18,950",45.77%,"20,250"
엘비인베스트먼트,2023/03/29,"4,255",-0.47%,"5,100",-16.57%,"6,500",27.45%,"8,450"
한화위탁관리부동산투자회사,2023/03/27,"4,990",-0.20%,"5,000",-0.2%,"4,900",-2%,"4,510"
유안타스팩12호,2023/03/17,"2,380",0.00%,"2,000",19%,"1,997",-0.15%,"1,998"
미래에셋드림스팩1호,2023/03/15,"9,880",0.10%,"10,000",-1.2%,"9,370",-6.3%,"9,410"
금양그린파워,2023/03/13,"11,630",-1.52%,"10,000",16.3%,"19,000",90%,"16,200"
NH스팩28호,2023/03/09,"5,450",0.00%,"2,000",172.5%,"2,100",5%,"2,100"
자람테크놀로지,2023/03/07,"43,250",-2.92%,"22,000",96.59%,"44,000",100%,"42,700"
하나스팩26호,2023/03/07,"2,170",0.00%,"2,000",8.5%,"2,000",0%,"1,999"
나노팀,2023/03/03,"12,870",-2.72%,"13,000",-1%,"26,000",100%,"29,800"
삼성스팩8호,2023/03/02,"9,970",0.00%,"10,000",-0.3%,"10,100",1%,"9,980"
바이오인프라,2023/03/02,"8,560",3.13%,"21,000",-59.24%,"42,000",100%,"29,400"
유안타스팩13호,2023/02/28,"2,025",0.00%,"2,000",1.25%,"2,010",0.5%,"1,999"
미래에셋비전스팩2호,2023/02/24,"2,320",-0.22%,"2,000",16%,"4,000",100%,"2,800"
이노진,2023/02/20,"1,977",-0.85%,"3,000",-34.1%,"6,000",100%,"7,800"
제이오,2023/02/16,"18,300",3.16%,"13,000",40.77%,"19,900",53.08%,"21,500"
샌즈랩,2023/02/15,"6,620",-2.07%,"10,500",-36.95%,"21,000",100%,"24,900"
꿈비,2023/02/09,"6,930",-0.57%,"5,000",38.6%,"10,000",100%,"13,000"
스튜디오미르,2023/02/07,"2,775",0.91%,"19,500",-85.77%,"39,000",100%,"50,700"
삼기이브이,2023/02/03,"2,590",-0.77%,"11,000",-76.45%,"22,000",100%,"26,850"
오브젠,2023/01/30,"11,210",-3.86%,"18,000",-37.72%,"36,000",100%,"46,800"
미래반도체,2023/01/27,"15,550",0.39%,"6,000",159.17%,"12,000",100%,-
한주라이트메탈(구.한주금속),2023/01/19,"1,018",-1.07%,"3,100",-67.16%,"4,115",32.74%,"5,340"
티이엠씨,2023/01/19,"11,820",-0.51%,"28,000",-57.79%,"27,950",-0.18%,"28,100"
신영스팩9호,2022/12/27,"2,270",0.89%,"2,000",13.5%,"1,985",-0.75%,"1,985"
바이오노트(유가),2022/12/22,"5,210",-8.11%,"9,000",-42.11%,"9,980",10.89%,"10,650"
비엔케이스팩1호,2022/12/22,"2,115",0.24%,"2,000",5.75%,"1,980",-1%,"1,985"
IBKS스팩21호,2022/12/16,"2,265",0.22%,"2,000",13.25%,"2,015",0.75%,"2,000"
NH스팩27호,2022/12/16,"2,125",0.24%,"2,000",6.25%,"1,990",-0.5%,"1,980"
에스에이엠지엔터테인먼트,2022/12/06,"12,400",1.06%,"17,000",-27.06%,"18,050",6.18%,"23,450"
대신밸런스스팩14호,2022/12/05,"2,295",-0.22%,"2,000",14.75%,"1,985",-0.75%,"1,995"
NH스팩26호,2022/12/01,"2,080",-0.24%,"2,000",4%,"1,995",-0.25%,"1,980"
유진스팩9호,2022/12/01,"2,295",0.22%,"2,000",14.75%,"2,000",0%,"1,985"
대신밸런스스팩13호,2022/11/28,"2,110",-2.09%,"2,000",5.5%,"2,000",0%,"2,000"
펨트론,2022/11/24,"4,185",-2.22%,"8,000",-47.69%,"9,820",22.75%,"9,210"
인벤티지랩,2022/11/22,"15,140",0.87%,"12,000",26.17%,"12,750",6.25%,"14,950"
엔젯,2022/11/18,"11,450",1.69%,"10,000",14.5%,"9,000",-10%,"10,850"
유비온,2022/11/18,915,-3.17%,"2,000",-54.25%,"1,850",-7.5%,"1,745"
티쓰리엔터테인먼트,2022/11/17,"1,169",1.83%,"1,700",-31.24%,"2,445",43.82%,"2,085"
티에프이,2022/11/17,"21,800",-2.02%,"10,500",107.62%,"10,000",-4.76%,"9,260"
윤성에프앤씨,2022/11/14,"51,200",-0.19%,"49,000",4.49%,"44,100",-10%,"40,450"
디티앤씨알오,2022/11/11,"6,200",-3.12%,"17,000",-63.53%,"15,700",-7.65%,"13,850"
뉴로메카,2022/11/04,"25,600",3.43%,"16,900",51.48%,"24,250",43.49%,"21,050"
제이아이테크,2022/11/04,"3,980",-0.13%,"16,000",-75.13%,"14,400",-10%,"11,900"
NH스팩25호,2022/11/03,"2,250",-0.66%,"2,000",12.5%,"2,110",5.5%,"2,175"
KB스팩23호,2022/11/03,"1,685",0.00%,"2,000",-15.75%,"1,945",-2.75%,"1,940"
큐알티,2022/11/02,"15,450",1.25%,"44,000",-64.89%,"43,000",-2.27%,"38,350"
교보스팩13호,2022/11/02,"2,265",-0.44%,"2,000",13.25%,"2,000",0%,"1,975"
IBKS스팩20호,2022/10/28,"2,330",0.43%,"2,000",16.5%,"2,020",1%,"2,010"
저스템,2022/10/28,"9,330",-7.16%,"10,500",-11.14%,"11,000",4.76%,"12,400"
산돌,2022/10/27,"7,210",1.12%,"18,800",-61.65%,"24,150",28.46%,"20,850"
삼성스팩7호,2022/10/26,"10,170",0.30%,"10,000",1.7%,"17,150",71.5%,"14,100"
플라즈맵,2022/10/21,"2,155",0.47%,"7,000",-69.21%,"8,420",20.29%,"6,700"
한국스팩11호,2022/10/20,"3,495",2.49%,"2,000",74.75%,"2,045",2.25%,"2,035"
하나금융스팩25호,2022/10/20,"10,160",0.10%,"10,000",1.6%,"9,900",-1%,"9,760"
핀텔,2022/10/20,"2,170",-0.46%,"8,900",-75.62%,"15,300",71.91%,"10,850"
NH스팩24호,2022/10/20,"2,150",0.00%,"2,000",7.5%,"2,060",3%,"2,055"
샤페론,2022/10/19,"1,840",-4.22%,"5,000",-63.2%,"9,000",80%,"8,630"
탑머티리얼,2022/10/18,"44,850",0.79%,"30,000",49.5%,"33,500",11.67%,"37,000"
에스비비테크,2022/10/17,"23,900",10.90%,"12,400",92.74%,"23,900",92.74%,"31,050"
오에스피,2022/10/14,"3,650",-1.35%,"8,400",-56.55%,"10,850",29.17%,"10,050"
이노룰스,2022/10/07,"6,230",-0.32%,"12,500",-50.16%,"13,150",5.2%,"15,850"
모델솔루션,2022/10/07,"10,690",-0.56%,"27,000",-60.41%,"29,500",9.26%,"30,900"
유안타스팩10호,2022/10/06,"2,160",0.00%,"2,000",8%,"2,050",2.5%,"2,065"
SK증권스팩8호,2022/10/06,"2,135",0.00%,"2,000",6.75%,"2,120",6%,"2,140"
KB스타리츠(유가),2022/10/06,"4,345",0.35%,"5,000",-13.1%,"4,500",-10%,"4,340"
선바이오,2022/10/05,"7,670",0.00%,"11,000",-30.27%,"12,050",9.55%,"10,600"
더블유씨피,2022/09/30,"21,200",1.44%,"60,000",-64.67%,"54,000",-10%,"41,700"
하나금융스팩24호,2022/09/29,"1,762",0.00%,"2,000",-11.9%,"2,085",4.25%,"2,080"
알피바이오,2022/09/29,"7,300",-1.75%,"13,000",-43.85%,"19,300",48.46%,"18,300"
한화플러스스팩3호,2022/09/29,"2,215",0.00%,"2,000",10.75%,"2,110",5.5%,"2,125"
오픈엣지테크놀로지,2022/09/26,"16,000",-3.03%,"10,000",60%,"10,800",8%,"10,050"
KB스팩22호,2022/09/22,"4,760",0.00%,"2,000",138%,"2,105",5.25%,"2,110"
하나금융스팩23호,2022/09/15,"5,700",0.00%,"2,000",185%,"2,120",6%,"2,110"
키움스팩7호,2022/09/07,"2,460",0.00%,"2,000",23%,"2,110",5.5%,"2,120"
IBKS스팩19호,2022/08/26,"6,300",0.00%,"2,000",215%,"2,095",4.75%,"2,095"
신영스팩8호,2022/08/26,"2,270",-0.44%,"2,000",13.5%,"2,105",5.25%,"2,105"
대성하이텍,2022/08/22,"4,360",-2.46%,"9,000",-51.56%,"13,000",44.44%,"14,600"
쏘카(유가),2022/08/22,"18,840",-0.16%,"28,000",-32.71%,"28,000",0%,"26,300"
