name,listingDate,currentPrice,changeFromPreviousDay,offeringPrice,changeRateFromOfferingPrice,openingPrice,openingPriceToOfferingPrice,closingPriceOnFirstDay
에이치와이티씨,2022/08/09,"5,170",0.58%,"15,000",-65.53%,"14,700",-2%,"15,850"
유안타스팩9호,2022/08/04,"2,160",0.23%,"2,000",8%,"2,090",4.5%,"2,090"
새빗켐,2022/08/04,"27,000",0.19%,"35,000",-22.86%,"70,000",100%,"72,500"
수산인더스트리(유가),2022/08/01,"23,300",6.39%,"35,000",-33.43%,"33,000",-5.71%,"32,500"
신한스팩10호,2022/07/29,"2,390",1.70%,"2,000",19.5%,"2,150",7.5%,"2,145"
아이씨에이치,2022/07/29,"4,010",-1.35%,"34,000",-88.21%,"30,600",-10%,"27,000"
성일하이텍,2022/07/28,"54,900",1.10%,"50,000",9.8%,"99,900",99.8%,"88,200"
에이프릴바이오,2022/07/28,"19,840",-3.22%,"16,000",24%,"19,500",21.88%,"21,850"
IBKS스팩18호,2022/07/22,"1,251",0.40%,"2,000",-37.45%,"2,185",9.25%,"2,145"
루닛,2022/07/21,"42,950",2.51%,"30,000",43.17%,"30,800",2.67%,"40,000"
에이치피에스피,2022/07/15,"30,850",0.65%,"25,000",23.4%,"50,000",100%,"43,250"
대신밸런스12호스팩,2022/07/14,"2,580",0.00%,"2,000",29%,"2,170",8.5%,"2,135"
영창케미칼,2022/07/14,"16,350",-0.91%,"18,600",-12.1%,"18,400",-1.08%,"16,450"
코난테크놀로지,2022/07/07,"14,950",-2.92%,"25,000",-40.2%,"35,300",41.2%,"30,600"
넥스트칩,2022/07/01,"8,490",-2.53%,"13,000",-34.69%,"17,150",31.92%,"14,300"
삼성스팩6호,2022/06/30,"2,320",-0.64%,"2,000",16%,"4,000",100%,"5,200"
NH스팩23호,2022/06/28,"2,095",0.48%,"2,000",4.75%,"2,085",4.25%,"2,090"
교보스팩12호,2022/06/24,"2,140",0.47%,"2,000",7%,"2,075",3.75%,"2,070"
보로노이,2022/06/24,"65,400",-1.80%,"40,000",63.5%,"36,000",-10%,"29,350"
레이저쎌,2022/06/24,"6,150",-1.76%,"16,000",-61.56%,"20,600",28.75%,"17,350"
KB스팩21호,2022/06/23,"2,165",0.00%,"2,000",8.25%,"2,100",5%,"2,100"
위니아에이드,2022/06/23,"1,691",0.00%,"16,200",-89.56%,"14,600",-9.88%,"11,000"
비플라이소프트,2022/06/20,"1,099",-1.26%,"10,000",-89.01%,"10,500",5%,"9,050"
범한퓨얼셀,2022/06/17,"16,850",-2.38%,"40,000",-57.88%,"41,000",2.5%,"47,950"
청담글로벌,2022/06/03,"7,410",-0.54%,"6,000",23.5%,"6,500",8.33%,"7,640"
마스턴프리미어리츠(유가),2022/05/31,"2,350",0.00%,"5,000",-53%,"5,750",15%,"6,010"
하나금융스팩22호,2022/05/26,"2,380",0.00%,"2,000",19%,"2,160",8%,"2,155"
가온칩스,2022/05/20,"54,700",-2.50%,"14,000",290.71%,"24,150",72.5%,"27,100"
대명에너지,2022/05/16,"12,730",-2.60%,"15,000",-15.13%,"15,450",3%,"13,950"
상상인스팩3호,2022/04/29,"2,100",0.00%,"2,000",5%,"2,155",7.75%,"2,150"
신영스팩7호,2022/04/28,"5,200",0.00%,"2,000",160%,"2,295",14.75%,"2,270"
포바이포,2022/04/28,"6,270",-2.03%,"17,000",-63.12%,"34,000",100%,"44,200"
신한스팩9호,2022/04/27,"3,920",0.00%,"2,000",96%,"2,240",12%,"2,255"
미래에셋비전스팩1호,2022/04/21,"2,620",0.00%,"2,000",31%,"2,270",13.5%,"2,295"
키움스팩6호,2022/04/07,"2,240",0.00%,"2,000",12%,"2,180",9%,"2,215"
지투파워,2022/04/01,"6,780",-0.73%,"16,400",-58.66%,"32,800",100%,"35,250"
유진스팩8호,2022/03/31,"2,790",0.00%,"2,000",39.5%,"2,115",5.75%,"2,110"
코람코더원리츠(유가),2022/03/28,"5,200",-0.38%,"5,000",4%,"5,260",5.2%,"5,410"
세아메카닉스,2022/03/24,"3,015",-0.33%,"4,400",-31.48%,"8,800",100%,"7,600"
공구우먼,2022/03/23,"4,620",-0.43%,"20,000",-76.9%,"21,600",8%,"20,000"
유일로보틱스,2022/03/18,"28,100",2.37%,"10,000",181%,"20,000",100%,"26,000"
모아데이타,2022/03/10,"1,573",-1.63%,"20,000",-92.14%,"18,000",-10%,"16,050"
SK증권스팩7호,2022/03/07,"2,175",-0.68%,"2,000",8.75%,"2,135",6.75%,"2,130"
노을,2022/03/03,"2,240",-0.88%,"10,000",-77.6%,"9,670",-3.3%,"9,210"
비씨엔씨,2022/03/03,"15,050",0.60%,"13,000",15.77%,"26,000",100%,"22,600"
풍원정밀,2022/02/28,"10,760",-2.62%,"15,200",-29.21%,"20,200",32.89%,"21,450"
스톤브릿지벤처스,2022/02/25,"3,770",-0.53%,"8,000",-52.88%,"7,200",-10%,"6,510"
하나금융스팩21호,2022/02/25,"2,095",0.48%,"2,000",4.75%,"2,080",4%,"2,090"
브이씨,2022/02/24,"3,935",-0.63%,"15,000",-73.77%,"17,400",16%,"15,350"
퓨런티어,2022/02/23,"16,100",0.56%,"15,000",7.33%,"30,000",100%,"31,200"
바이오에프디엔씨,2022/02/21,"15,300",-2.05%,"28,000",-45.36%,"25,200",-10%,"22,200"
한국스팩10호,2022/02/21,"3,305",0.00%,"2,000",65.25%,"2,130",6.5%,"2,130"
IBKS스팩17호,2022/02/18,"3,800",0.00%,"2,000",90%,"2,660",33%,"2,315"
인카금융서비스,2022/02/16,"5,090",-1.55%,"18,000",-71.72%,"17,250",-4.17%,"14,400"
나래나노텍,2022/02/08,"4,135",-2.13%,"17,500",-76.37%,"15,750",-10%,"13,900"
아셈스,2022/02/07,"6,800",-1.02%,"8,000",-15%,"16,000",100%,"13,500"
스코넥,2022/02/04,"3,550",-0.14%,"13,000",-72.69%,"26,000",100%,"24,450"
이지트로닉스,2022/02/04,"5,940",-0.67%,"22,000",-73%,"23,450",6.59%,"25,500"
LG에너지솔루션(유가),2022/01/27,"350,000",6.06%,"300,000",16.67%,"597,000",99%,"505,000"
애드바이오텍,2022/01/24,"3,370",-3.58%,"7,000",-51.86%,"6,730",-3.86%,"5,950"
케이옥션,2022/01/24,"3,345",-2.19%,"20,000",-83.28%,"40,000",100%,"52,000"
오토앤,2022/01/20,"4,905",6.40%,"5,300",-7.45%,"8,800",66.04%,"11,400"
디비금융스팩10호,2022/01/20,"3,150",0.00%,"2,000",57.5%,"2,075",3.75%,"2,115"
래몽래인,2021/12/30,"11,880",1.02%,"15,000",-20.8%,"26,000",73.33%,"24,000"
하나금융스팩20호,2021/12/27,"2,785",0.00%,"2,000",39.25%,"2,130",6.5%,"2,135"
NH스팩22호,2021/12/24,"3,505",0.00%,"2,000",75.25%,"2,090",4.5%,"2,085"
하이스팩7호,2021/12/20,"2,110",0.00%,"2,000",5.5%,"2,060",3%,"2,085"
교보스팩11호,2021/12/20,"3,425",0.00%,"2,000",71.25%,"2,065",3.25%,"2,095"
케이티비네트워크,2021/12/16,"2,555",0.00%,"5,800",-55.95%,"6,030",3.97%,"5,350"
신한서부티엔디리츠(유가),2021/12/10,"4,035",1.00%,"5,000",-19.3%,"4,805",-3.9%,"4,915"
툴젠,2021/12/10,"81,600",-6.96%,"70,000",16.57%,"82,300",17.57%,"91,100"
미래에셋글로벌리츠(유가),2021/12/03,"2,990",0.00%,"5,000",-40.2%,"5,310",6.2%,"5,230"
대신밸런스스팩11호,2021/12/02,"3,535",0.00%,"2,000",76.75%,"2,060",3%,"2,070"
마인즈랩,2021/11/23,"11,780",-1.42%,"30,000",-60.73%,"29,650",-1.17%,"38,000"
알비더블유,2021/11/22,"2,505",-1.57%,"21,400",-88.29%,"42,800",100%,"38,950"
바이옵트로,2021/11/18,"8,040",0.00%,"7,500",7.2%,"7,300",-2.67%,"6,290"
NH올원리츠(유가),2021/11/18,"3,725",-0.53%,"5,000",-25.5%,"5,490",9.8%,"5,370"
트윔,2021/11/17,"8,950",0.34%,"22,000",-59.32%,"44,000",100%,"41,100"
지오엘리먼트,2021/11/11,"8,630",-0.80%,"10,000",-13.7%,"20,000",100%,"15,900"
아이티아이즈,2021/11/11,"8,190",17.00%,"14,300",-42.73%,"28,600",100%,"20,050"
비트나인,2021/11/10,"2,690",-1.47%,"11,000",-75.55%,"15,250",38.64%,"11,400"
디어유,2021/11/10,"21,200",-2.53%,"26,000",-18.46%,"52,000",100%,"66,500"
지니너스,2021/11/08,"1,441",-2.64%,"20,000",-92.8%,"18,000",-10%,"13,400"
카카오페이(유가),2021/11/03,"24,000",0.42%,"90,000",-73.33%,"180,000",100%,"193,000"
피코그램,2021/11/03,"2,830",-0.88%,"12,500",-77.36%,"25,000",100%,"18,600"
엔켐,2021/11/01,"210,000",-2.10%,"42,000",400%,"81,600",94.29%,"80,000"
리파인,2021/10/29,"11,150",-2.02%,"21,000",-46.9%,"18,900",-10%,"14,300"
지앤비에스엔지니어링,2021/10/29,"3,985",-0.75%,"17,400",-77.1%,"24,000",37.93%,"19,200"
아이패밀리에스씨,2021/10/28,"24,550",-1.60%,"25,000",-1.8%,"28,650",14.6%,"25,400"
차백신연구소,2021/10/22,"4,830",-2.42%,"11,000",-56.09%,"11,700",6.36%,"13,000"
지아이텍,2021/10/21,"2,670",-1.48%,"14,000",-80.93%,"28,000",100%,"36,400"
NH스팩21호,2021/10/15,"2,405",2.12%,"2,000",20.25%,"2,075",3.75%,"2,075"
케이카(유가),2021/10/13,"13,670",4.11%,"25,000",-45.32%,"22,500",-10%,"23,000"
씨유테크,2021/10/08,"3,295",-0.75%,"6,000",-45.08%,"12,000",100%,"8,400"
원준,2021/10/07,"11,380",-1.04%,"65,000",-82.49%,"102,000",56.92%,"87,000"
하나금융스팩19호,2021/10/07,"2,835",0.00%,"2,000",41.75%,"2,045",2.25%,"2,045"
아스플로,2021/10/07,"8,740",-0.34%,"25,000",-65.04%,"36,000",44%,"28,350"
NH스팩20호,2021/10/05,"10,450",0.00%,"2,000",422.5%,"2,030",1.5%,"2,050"
에스앤디,2021/09/29,"39,250",0.13%,"28,000",40.18%,"25,200",-10%,"21,700"
실리콘투,2021/09/29,"42,200",-4.85%,"27,200",55.15%,"38,500",41.54%,"29,000"
프롬바이오,2021/09/28,"1,970",-1.50%,"18,000",-89.06%,"19,250",6.94%,"19,850"
신한스팩8호,2021/09/27,"2,080",0.00%,"2,000",4%,"2,100",5%,"2,080"
바이오플러스,2021/09/27,"6,060",1.85%,"31,500",-80.76%,"39,500",25.4%,"32,450"
대신밸런스스팩10호,2021/09/17,"5,070",0.00%,"2,000",153.5%,"2,305",15.25%,"2,220"
현대중공업(유가),2021/09/17,"205,000",-2.84%,"60,000",241.67%,"111,000",85%,"111,500"
SK리츠(유가),2021/09/14,"5,120",0.00%,"5,000",2.4%,"5,340",6.8%,"5,780"
유진스팩7호,2021/09/13,"2,095",0.00%,"2,000",4.75%,"4,000",100%,"2,800"
와이엠텍,2021/09/10,"14,520",-10.32%,"28,000",-48.14%,"56,000",100%,"59,000"
에이비온,2021/09/08,"8,250",2.23%,"17,000",-51.47%,"16,800",-1.18%,"15,700"
IBKS스팩16호,2021/09/03,"3,420",6.05%,"2,000",71%,"4,000",100%,"2,475"
일진하이솔루스(유가),2021/09/01,"21,500",0.70%,"34,300",-37.32%,"68,600",100%,"89,100"
디앤디플랫폼리츠,2021/08/27,"3,720",0.27%,"5,000",-25.6%,"5,390",7.8%,"5,290"
바이젠셀,2021/08/25,"4,200",-2.55%,"52,700",-92.03%,"73,500",39.47%,"59,500"
아주스틸(유가),2021/08/20,"5,680",-0.18%,"15,100",-62.38%,"30,200",100%,"33,500"
브레인즈컴퍼니,2021/08/19,"6,530",-1.51%,"25,000",-73.88%,"50,000",100%,"65,000"
롯데렌탈(유가),2021/08/19,"30,500",0.99%,"59,000",-48.31%,"57,500",-2.54%,"55,500"
딥노이드,2021/08/17,"5,820",-5.52%,"42,000",-86.14%,"72,000",71.43%,"50,400"
한컴라이프케어(유가),2021/08/17,"3,855",-5.17%,"13,700",-71.86%,"16,050",17.15%,"12,800"
엠로,2021/08/13,"45,750",-0.97%,"22,600",102.43%,"32,700",44.69%,"28,300"
플래티어,2021/08/12,"5,050",-0.39%,"11,000",-54.09%,"22,000",100%,"28,600"
원티드랩,2021/08/11,"4,960",-1.20%,"35,000",-85.83%,"70,000",100%,"91,000"
크래프톤(유가),2021/08/10,"339,500",1.80%,"498,000",-31.83%,"448,500",-9.94%,"454,000"
에이치케이이노엔,2021/08/09,"41,250",-0.96%,"59,000",-30.08%,"68,100",15.42%,"68,500"
카카오뱅크(유가),2021/08/06,"21,500",0.00%,"39,000",-44.87%,"53,700",37.69%,"69,800"
한화플러스스팩2호,2021/08/05,"2,090",0.00%,"2,000",4.5%,"4,000",100%,-
에브리봇,2021/07/28,"19,690",1.34%,"36,700",-46.35%,"33,050",-9.95%,"30,300"
맥스트,2021/07/27,"3,600",-0.41%,"15,000",-76%,"30,000",100%,"39,000"
큐라클,2021/07/22,"6,490",0.15%,"25,000",-74.04%,"36,500",46%,"30,650"
에스디바이오센서(유가),2021/07/16,"12,500",-10.46%,"52,000",-75.96%,"57,000",9.62%,"61,000"
오비고,2021/07/13,"6,410",2.07%,"14,300",-55.17%,"19,200",34.27%,"20,700"
아모센스,2021/06/25,"7,950",0.00%,"12,400",-35.89%,"12,250",-1.21%,"15,900"
이노뎁,2021/06/18,"7,850",-0.25%,"18,000",-56.39%,"22,200",23.33%,"18,050"
삼성머스트스팩5호,2021/06/17,"2,045",0.00%,"2,000",2.25%,"4,000",100%,"5,200"
라온테크,2021/06/17,"7,440",-0.13%,"18,000",-58.67%,"20,250",12.5%,"20,500"
엘비루셈,2021/06/11,"4,960",-0.10%,"14,000",-64.57%,"18,000",28.57%,"15,200"
에이디엠코리아,2021/06/03,"3,020",-1.15%,"3,800",-20.53%,"7,600",100%,"9,880"
제주맥주,2021/05/26,"1,000",0.00%,"3,200",-68.75%,"4,780",49.38%,"4,900"
진시스템,2021/05/26,"10,080",0.00%,"20,000",-49.6%,"19,100",-4.5%,"17,400"
삼영에스앤씨,2021/05/21,"6,240",-1.58%,"11,000",-43.27%,"22,000",100%,"28,600"
삼성스팩4호,2021/05/21,"2,030",0.00%,"2,000",1.5%,"2,070",3.5%,"2,105"
NH스팩19호(유가),2021/05/21,"10,290",0.00%,"2,000",414.5%,"2,075",3.75%,"2,100"
샘씨엔에스,2021/05/20,"6,530",-1.36%,"6,500",0.46%,"6,400",-1.54%,"8,320"
씨앤씨인터내셔널,2021/05/17,"100,200",-3.65%,"47,500",110.95%,"47,250",-0.53%,"41,150"
에이치피오,2021/05/14,"3,175",-1.40%,"22,200",-85.7%,"20,000",-9.91%,"16,750"
SK아이이테크놀로지(유가),2021/05/11,"33,300",4.55%,"105,000",-68.29%,"210,000",100%,"154,500"
하이스팩6호,2021/05/10,"2,145",0.00%,"2,000",7.25%,"2,060",3%,"2,065"
쿠콘,2021/04/28,"14,220",1.14%,"45,000",-68.4%,"80,000",77.78%,"65,500"
해성티피씨,2021/04/21,"10,460",2.65%,"13,000",-19.54%,"26,000",100%,"33,800"
이삭엔지니어링,2021/04/21,"10,590",-0.56%,"11,500",-7.91%,"23,000",100%,"26,150"
유진스팩6호,2021/04/08,"2,050",0.00%,"2,000",2.5%,"2,050",2.5%,"2,045"
유안타스팩8호,2021/04/05,"3,940",0.00%,"2,000",97%,"2,010",0.5%,"2,005"
엔시스,2021/04/01,"10,450",0.19%,"19,000",-45%,"38,000",100%,"31,400"
자이언트스텝,2021/03/24,"7,050",1.15%,"11,000",-35.91%,"22,000",100%,"28,600"
제노코,2021/03/24,"14,790",-2.31%,"36,000",-58.92%,"65,000",80.56%,"80,100"
라이프시맨틱스,2021/03/23,"3,750",-0.92%,"12,500",-70%,"25,000",100%,"17,500"
SK바이오사이언스(유가),2021/03/18,"57,200",-1.04%,"65,000",-12%,"130,000",100%,"169,000"
바이오다인,2021/03/17,"14,770",0.00%,"30,000",-50.77%,"40,000",33.33%,"42,600"
네오이뮨텍,2021/03/16,"1,380",-2.06%,"7,500",-81.6%,"15,000",100%,"14,350"
디비금융스팩9호,2021/03/16,"6,020",0.00%,"2,000",201%,"2,025",1.25%,"2,020"
프레스티지바이오로직스,2021/03/11,"6,360",-4.36%,"12,400",-48.71%,"12,100",-2.42%,"14,300"
싸이버원,2021/03/11,"3,195",2.40%,"9,500",-66.37%,"18,000",89.47%,"21,200"
나노씨엠에스,2021/03/09,"10,330",-8.01%,"20,000",-48.35%,"33,000",65%,"23,950"
하나머스트스팩7호,2021/03/05,"4,790",0.00%,"2,000",139.5%,"2,055",2.75%,"2,050"
뷰노,2021/02/26,"36,550",0.41%,"21,000",74.05%,"32,900",56.67%,"32,150"
IBKS스팩15호,2021/02/26,662,3.60%,"2,000",-66.9%,"2,060",3%,"2,070"
유일에너테크,2021/02/25,"2,560",-3.03%,"16,000",-84%,"32,000",100%,"34,500"
씨이랩,2021/02/24,"7,200",0.00%,"35,000",-79.43%,"46,600",33.14%,"40,800"
오로스테크놀로지,2021/02/24,"20,400",1.49%,"21,000",-2.86%,"42,000",100%,"54,600"
피엔에이치테크,2021/02/16,"10,050",-3.18%,"18,000",-44.17%,"20,500",13.89%,"23,850"
하나금융스팩17호,2021/02/10,"2,020",-0.25%,"2,000",1%,"2,045",2.25%,"2,050"
프레스티지바이오파마(유가),2021/02/05,"14,100",-3.89%,"32,000",-55.94%,"28,800",-10%,"32,800"
아이퀘스트,2021/02/05,"2,240",-0.44%,"11,000",-79.64%,"22,000",100%,"20,000"
신한스팩7호,2021/02/04,"8,770",0.00%,"2,000",338.5%,"2,020",1%,"2,030"
와이더플래닛,2021/02/03,"13,200",8.82%,"16,000",-17.5%,"24,900",55.63%,"20,000"
레인보우로보틱스,2021/02/03,"154,900",7.94%,"10,000",1449%,"20,000",100%,"26,000"
솔루엠(유가),2021/02/02,"19,140",0.68%,"17,000",12.59%,"34,000",100%,"29,150"
핑거,2021/01/29,"6,830",0.29%,"16,000",-57.31%,"32,000",100%,"29,100"
씨앤투스성진,2021/01/28,"3,090",-1.75%,"32,000",-90.34%,"31,700",-0.94%,"28,700"
모비릭스,2021/01/28,"4,745",2.37%,"14,000",-66.11%,"28,000",100%,"36,400"
선진뷰티사이언스,2021/01/27,"11,360",-4.22%,"11,500",-1.22%,"23,000",100%,"29,900"
엔비티,2021/01/21,"3,970",-0.75%,"19,000",-79.11%,"38,000",100%,"36,500"
한국스팩9호,2021/01/21,"3,930",-0.25%,"2,000",96.5%,"2,020",1%,"2,030"
지놈앤컴퍼니,2020/12/23,"4,675",-3.71%,"40,000",-88.31%,"80,000",100%,"68,800"
대신밸런스스팩9호,2020/12/23,"1,722",-0.58%,"2,000",-13.9%,"2,020",1%,"2,050"
석경에이티,2020/12/23,"47,000",-1.05%,"10,000",370%,"20,000",100%,"26,000"
이에스알켄달스퀘어리츠(유가),2020/12/23,"4,900",-0.10%,"5,000",-2%,"4,970",-0.6%,"5,190"
프리시젼바이오,2020/12/22,"4,275",-4.58%,"12,500",-65.8%,"25,000",100%,"32,500"
알체라,2020/12/21,"2,460",-2.77%,"10,000",-75.4%,"20,000",100%,"26,000"
엔에이치스팩18호,2020/12/21,"1,059",0.19%,"2,000",-47.05%,"2,025",1.25%,"2,025"
에프앤가이드,2020/12/17,"8,250",0.12%,"7,000",17.86%,"14,000",100%,"12,850"
에이치엠씨아이비스팩5호,2020/12/16,"2,065",0.00%,"2,000",3.25%,"2,000",0%,-
티엘비,2020/12/14,"15,630",-2.92%,"38,000",-58.87%,"75,900",99.74%,"54,500"
인바이오,2020/12/11,"2,480",-0.20%,"5,800",-57.24%,"11,600",100%,"12,200"
엔젠바이오,2020/12/10,"2,915",-6.72%,"14,000",-79.18%,"28,000",100%,"25,650"
퀀타매트릭스,2020/12/09,"15,210",-4.10%,"25,500",-40.35%,"25,050",-1.76%,"24,100"
디비금융스팩8호,2020/12/09,"2,055",0.00%,"2,000",2.75%,"1,985",-0.75%,"1,985"
명신산업(유가),2020/12/07,"12,110",-1.06%,"6,500",86.31%,"13,000",100%,"16,900"
클리노믹스,2020/12/04,"1,228",-3.23%,"13,900",-91.17%,"18,500",33.09%,"19,000"
포인트모바일,2020/12/03,"4,410",0.23%,"15,000",-70.6%,"30,000",100%,"30,550"
엔에프씨,2020/12/02,"7,400",-0.40%,"13,400",-44.78%,"20,700",54.48%,"16,950"
앱코,2020/12/02,"1,090",-0.18%,"24,300",-95.51%,"30,150",24.07%,"28,900"
제일전기공업,2020/11/26,"6,850",-1.01%,"17,000",-59.71%,"34,000",100%,"28,650"
하나기술,2020/11/25,"30,650",-1.45%,"35,000",-12.43%,"70,000",100%,"91,000"
티앤엘,2020/11/20,"74,500",-1.46%,"36,000",106.94%,"72,000",100%,"54,000"
에이플러스에셋어드바이저(유가),2020/11/20,"4,305",-3.91%,"7,500",-42.6%,"8,100",8%,"6,880"
고바이오랩,2020/11/18,"7,410",-3.64%,"15,000",-50.6%,"30,000",100%,"31,300"
네패스아크,2020/11/17,"16,560",-1.19%,"26,500",-37.51%,"36,200",36.6%,"38,700"
교촌에프앤비(유가),2020/11/12,"8,930",4.20%,"12,300",-27.4%,"23,850",93.9%,"31,000"
소룩스,2020/11/06,"10,570",0.19%,"10,000",5.7%,"20,000",100%,"26,000"
위드텍,2020/10/30,"8,700",1.16%,"25,000",-65.2%,"37,100",48.4%,"41,100"
센코,2020/10/29,"2,420",-0.82%,"13,000",-81.38%,"13,350",2.69%,"15,250"
바이브컴퍼니,2020/10/28,"4,400",-3.83%,"28,000",-84.29%,"40,000",42.86%,"31,300"
미코바이오메드,2020/10/22,"2,570",-3.02%,"15,000",-82.87%,"16,100",7.33%,"13,700"
피플바이오,2020/10/19,"3,840",-1.41%,"20,000",-80.8%,"18,000",-10%,"23,400"
하이브(구.빅히트)(유가),2020/10/15,"169,800",0.47%,"135,000",25.78%,"270,000",100%,"258,000"
넥스틴,2020/10/08,"51,400",-0.77%,"75,400",-31.83%,"71,100",-5.7%,"71,600"
원방테크,2020/09/24,"15,270",-1.29%,"54,300",-71.88%,"48,900",-9.94%,"43,700"
엔에이치스팩17호,2020/09/23,"1,242",-2.89%,"2,000",-37.9%,"2,005",0.25%,"1,995"
비나텍,2020/09/23,"39,600",1.28%,"33,000",20%,"44,000",33.33%,"40,750"
박셀바이오,2020/09/22,"15,640",-1.57%,"30,000",-47.87%,"27,000",-10%,"21,300"
비비씨,2020/09/21,"9,490",-1.15%,"30,700",-69.09%,"27,650",-9.93%,"22,300"
교보스팩10호,2020/09/18,"10,170",-3.60%,"2,000",408.5%,"2,020",1%,"2,005"
핌스,2020/09/18,"2,735",-1.44%,"19,000",-85.61%,"21,000",10.53%,"18,300"
압타머사이언스,2020/09/16,"3,130",-6.85%,"25,000",-87.48%,"28,850",15.4%,"27,750"
이오플로우,2020/09/14,"12,460",2.05%,"19,000",-34.42%,"21,750",14.47%,"20,000"
카카오게임즈,2020/09/10,"17,230",0.29%,"24,000",-28.21%,"48,000",100%,"62,400"
피엔케이피부임상연구센타,2020/09/09,"2,540",-2.31%,"18,300",-86.12%,"28,000",53.01%,"26,800"
코람코에너지플러스리츠(유가),2020/08/31,"4,730",-2.97%,"5,000",-5.4%,"4,800",-4%,"4,735"
미래에셋대우스팩5호,2020/08/28,"2,015",0.00%,"2,000",0.75%,"2,000",0%,"2,010"
아이디피,2020/08/24,"3,670",1.52%,"9,800",-62.55%,"13,200",34.69%,"12,500"
셀레믹스,2020/08/21,"7,220",-14.76%,"20,000",-63.9%,"24,900",24.5%,"25,800"
미투젠,2020/08/18,"10,620",2.02%,"27,000",-60.67%,"29,100",7.78%,"25,500"
브랜드엑스코퍼레이션,2020/08/13,"10,640",-2.83%,"13,000",-18.15%,"12,900",-0.77%,"11,700"
영림원소프트랩,2020/08/12,"7,820",-0.89%,"11,500",-32%,"17,600",53.04%,"13,650"
한국파마,2020/08/10,"18,750",-3.85%,"9,000",108.33%,"18,000",100%,"16,850"
제이알글로벌리츠(유가),2020/08/07,"3,620",0.56%,"5,000",-27.6%,"4,700",-6%,"4,825"
이루다,2020/08/06,"6,480",2.21%,"9,000",-28%,"18,000",100%,"17,650"
이지스레지던스리츠(유가),2020/08/05,"4,010",-1.11%,"5,000",-19.8%,"4,500",-10%,"4,190"
미래에셋맵스리츠1호(유가),2020/08/05,"3,150",0.80%,"5,000",-37%,"4,500",-10%,"4,350"
와이팜,2020/07/31,"2,845",-0.52%,"11,000",-74.14%,"15,550",41.36%,"18,800"
이엔드디,2020/07/30,"30,500",-0.65%,"14,400",111.81%,"18,200",26.39%,"21,000"
엠투아이,2020/07/29,"6,480",-0.46%,"15,600",-58.46%,"18,850",20.83%,"15,900"
에이치엠씨아이비스팩4호,2020/07/29,"2,025",0.00%,"2,000",1.25%,"2,010",0.5%,"2,000"
더네이쳐홀딩스,2020/07/27,"10,750",-0.19%,"46,000",-76.63%,"41,400",-10%,"43,000"
제놀루션,2020/07/24,"4,020",-10.27%,"14,000",-71.29%,"28,000",100%,"24,750"
솔트룩스,2020/07/23,"14,300",-2.72%,"25,000",-42.8%,"40,000",60%,"34,300"
하나금융스팩16호,2020/07/23,"2,020",0.00%,"2,000",1%,"2,020",1%,"2,020"
티에스아이,2020/07/22,"7,010",-1.68%,"10,000",-29.9%,"20,000",100%,"17,200"
이지스밸류플러스리츠(유가),2020/07/16,"5,300",0.00%,"5,000",6%,"4,800",-4%,"4,410"
에이프로,2020/07/16,"8,350",2.20%,"21,600",-61.34%,"43,200",100%,"56,100"
